2019-05-21 12:11:10 DEBUG logging:28 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2019-05-21 12:11:10 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2019-05-21 12:11:10 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2019-05-21 12:11:10 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2019-05-21 12:11:10 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.envers.boot.internal.EnversIntegrator].
2019-05-21 12:11:11 INFO  Version:46 - HHH000412: Hibernate Core {5.4.2.Final}
2019-05-21 12:11:11 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2019-05-21 12:11:12 DEBUG LocalXmlResourceResolver:57 - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2019-05-21 12:11:12 DEBUG LocalXmlResourceResolver:85 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2019-05-21 12:11:12 DEBUG JaxbCfgProcessor:116 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2019-05-21 12:11:13 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2019-05-21 12:11:13 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2019-05-21 12:11:13 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2019-05-21 12:11:13 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.envers.boot.internal.EnversIntegrator].
2019-05-21 12:11:13 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2019-05-21 12:11:13 DEBUG Configuration:652 - Building session factory using provided StandardServiceRegistry
2019-05-21 12:11:14 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[class org.infinispan.hibernate.cache.v53.InfinispanRegionFactory, class org.hibernate.cache.ehcache.internal.SingletonEhcacheRegionFactory, class org.hibernate.cache.ehcache.internal.EhcacheRegionFactory]` RegionFactory strategies were registered
2019-05-21 12:11:14 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2019-05-21 12:11:14 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@4f7d1870
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@4f7d1870
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4f7d1870
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@60dc5d4c
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6f4de27f
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration yes_no -> org.hibernate.type.YesNoType@55440d98
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@5291db9
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@5291db9
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5291db9
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration character -> org.hibernate.type.CharacterType@4be2e3ac
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration char -> org.hibernate.type.CharacterType@4be2e3ac
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@4be2e3ac
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@79914247
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@79914247
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@79914247
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration integer -> org.hibernate.type.IntegerType@58156770
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration int -> org.hibernate.type.IntegerType@58156770
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@58156770
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@5ab02226
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@5ab02226
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5ab02226
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@567e3ee8
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@567e3ee8
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@567e3ee8
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@5432db37
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@5432db37
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@5432db37
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@4dd449af
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@4dd449af
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@6ad615fb
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@6ad615fb
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration string -> org.hibernate.type.StringType@68fb0680
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.String -> org.hibernate.type.StringType@68fb0680
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@7d2cca66
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@78e07f44
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration url -> org.hibernate.type.UrlType@b879050
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@b879050
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration Duration -> org.hibernate.type.DurationType@4b26c8d5
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@4b26c8d5
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration Instant -> org.hibernate.type.InstantType@2fbcba66
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@2fbcba66
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@952a347
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@952a347
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@58428b3c
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@58428b3c
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@ecf5f6
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@ecf5f6
